Location,Temperature,Feels_Like,Min_Temperature,Max_Temperature,Pressure(PHa),Humimdity,GDP_PC_2018,CHE_PC_2017
World,,,,,,,11312.4399293599,
Afghanistan,9.78000000000003,8.200000000000045,9.0,11.0,1019.0,87.0,520.896602719135,67.1
Albania,14.0,13.879999999999995,14.0,14.0,1013.0,87.0,5268.84850355919,
Algeria,16.0,12.879999999999995,16.0,16.0,1005.0,93.0,4114.71506136896,258.5
Andorra,6.410000000000025,3.900000000000034,4.439999999999999,8.330000000000041,1006.0,95.0,42029.7627372989,4040.8
Angola,27.0,31.5,27.0,27.0,1012.0,88.0,3432.38573600893,114.5
Anguilla,27.29000000000002,27.820000000000054,26.670000000000016,28.0,1017.0,65.0,,
Antigua and Barbuda,26.230000000000015,28.36000000000001,25.56,27.0,1016.0,74.0,16726.9808079479,673.9
Argentina,20.730000000000018,20.660000000000025,20.0,22.0,1016.0,68.0,11683.9496216363,1324.6
Armenia,9.0,7.7100000000000355,9.0,9.0,1016.0,81.0,4212.07094272937,407.6
Aruba,29.0,26.660000000000025,29.0,29.0,1011.0,70.0,,
Australia,11.160000000000023,4.300000000000011,10.560000000000002,11.670000000000016,1016.0,66.0,57373.6866841281,5331.8
Austria,7.8799999999999955,3.080000000000041,5.560000000000002,9.439999999999998,1020.0,49.0,51461.9547804677,4939.9
Azerbaijan,8.0,5.1200000000000045,8.0,8.0,1014.0,93.0,4721.17808673142,275.8
Bahamas,28.5,28.640000000000047,28.0,28.890000000000047,1014.0,69.0,,1771.5
Bahrain,24.590000000000032,27.660000000000025,24.0,25.0,1008.0,73.0,24050.7575053956,1127.2
Bangladesh,24.0,21.780000000000033,24.0,24.0,1011.0,88.0,1698.26280233547,36.3
Barbados,27.0,25.94,27.0,27.0,1015.0,74.0,17949.2815054371,1183.8
Belarus,1.0,-3.5,1.0,1.0,1019.0,74.0,6289.93855308212,342.5
Belgium,10.890000000000043,7.689999999999998,10.0,11.670000000000016,1017.0,61.0,47518.6360388914,4507.4
Belize,33.200000000000045,32.55000000000001,30.56,40.0,1006.0,33.0,4884.74242133376,280.5
Benin,27.0,30.210000000000036,27.0,27.0,1013.0,83.0,901.543871206357,30.8
Bermuda,17.680000000000007,15.170000000000016,16.670000000000016,19.0,1018.0,55.0,,
Bhutan,6.830000000000041,3.0,6.830000000000041,6.830000000000041,1017.0,34.0,3243.23112508014,96.8
Bolivia,8.0,3.080000000000041,8.0,8.0,1039.0,65.0,3548.59013979338,
Bonaire Sint Eustatius and Saba,,,,,,,,
Bosnia and Herzegovina,11.930000000000007,10.379999999999997,11.930000000000007,11.930000000000007,1015.0,69.0,6065.67270824158,460.5
Botswana,17.0,15.450000000000045,17.0,17.0,1025.0,67.0,8258.64166574691,465.9
Brazil,21.850000000000023,21.360000000000014,20.56,23.0,1020.0,78.0,8920.76210462979,928.8
British Virgin Islands,27.220000000000034,28.340000000000032,27.220000000000034,27.220000000000034,1015.0,80.0,,
Brunei,,,,,,,,
Bulgaria,11.620000000000005,9.870000000000003,9.439999999999998,13.330000000000037,1011.0,62.0,9272.62930360848,663.7
Burkina Faso,27.5,28.129999999999995,27.0,28.0,1013.0,65.0,715.12290404614,44.4
Burundi,21.970000000000027,22.45000000000005,21.970000000000027,21.970000000000027,1015.0,52.0,271.752044376648,23.5
Cambodia,28.0,32.23000000000002,28.0,28.0,1009.0,78.0,1510.3248705764,82.1
Cameroon,22.0,25.230000000000015,22.0,22.0,1019.0,100.0,1533.74213975885,67.8
Canada,6.5400000000000205,0.09000000000003182,6.110000000000013,7.220000000000027,1000.0,81.0,46232.9896226967,4754.9
Cape Verde,23.0,18.830000000000037,23.0,23.0,1018.0,64.0,,
Cayman Islands,29.640000000000047,33.24000000000001,28.890000000000047,30.0,1013.0,74.0,,
Central African Republic,24.0,27.090000000000032,24.0,24.0,1012.0,83.0,475.721250544318,24.2
Chad,31.0,26.660000000000025,31.0,31.0,1008.0,10.0,728.343235359289,29.7
Chile,27.49000000000001,27.150000000000034,27.0,28.0,1017.0,39.0,15923.3587375381,1382.0
China,12.470000000000026,4.670000000000017,10.0,15.560000000000002,1009.0,42.0,9770.84708783314,440.8
Colombia,17.0,14.050000000000011,17.0,17.0,1026.0,67.0,6667.7906995498,459.2
Congo,,,,,,,,50.0
Costa Rica,21.44,24.140000000000047,21.0,22.0,1016.0,88.0,12027.3658826316,869.1
Cote d'Ivoire,24.31,27.710000000000036,24.31,24.31,1013.0,88.0,1715.53133212649,69.7
Croatia,13.710000000000036,10.070000000000052,13.0,14.0,1017.0,76.0,14909.6931860854,902.1
Cuba,31.830000000000037,32.55000000000001,31.670000000000016,32.0,1012.0,49.0,8821.81889125004,987.6
Curacao,,,,,,,19567.8924351055,
Cyprus,16.129999999999995,14.160000000000027,14.0,18.0,1012.0,87.0,28159.3016999455,1731.7
Czech Republic,5.78000000000003,1.5400000000000205,5.0,6.670000000000017,1022.0,52.0,23078.5734865691,
Democratic Republic of Congo,,,,,,,,
Denmark,6.4500000000000455,3.330000000000041,5.0,7.78000000000003,1028.0,74.0,61350.3479093986,5800.2
Djibouti,27.0,32.28000000000004,27.0,27.0,1013.0,88.0,3082.54309871957,70.3
Dominica,27.0,29.51000000000005,27.0,27.0,1016.0,74.0,7691.34509727878,439.6
Dominican Republic,27.95000000000005,32.68000000000001,27.780000000000033,28.330000000000037,1015.0,78.0,8050.63160184635,433.2
Ecuador,17.0,16.54000000000002,17.0,17.0,1025.0,72.0,6344.87197850057,518.0
Egypt,17.890000000000047,14.57000000000005,17.78000000000003,18.0,1013.0,63.0,,105.8
El Salvador,27.25,26.77000000000004,24.44,31.0,1014.0,69.0,4058.25243928118,282.5
Equatorial Guinea,26.0,31.24000000000001,26.0,26.0,1014.0,100.0,10261.7600116887,301.2
Eritrea,16.49000000000001,12.590000000000034,16.49000000000001,16.49000000000001,1009.0,18.0,,32.9
Estonia,4.810000000000001,1.6100000000000136,4.439999999999999,5.0,1022.0,80.0,23266.3462718751,1300.5
Ethiopia,18.0,16.810000000000002,18.0,18.0,1026.0,63.0,772.313530261357,25.3
Faeroe Islands,,,,,,,,
Falkland Islands,6.0,-1.4099999999999682,6.0,6.0,988.0,87.0,,
Fiji,27.0,30.45000000000005,27.0,27.0,1017.0,88.0,6266.96796528074,188.4
Finland,5.840000000000032,2.490000000000009,5.0,6.670000000000017,1022.0,81.0,50152.3401411303,4205.7
France,12.410000000000027,9.379999999999997,11.670000000000016,13.0,1013.0,81.0,41463.6440227034,4379.7
French Polynesia,32.0,34.82000000000005,32.0,32.0,1014.0,62.0,,
Gabon,29.0,33.420000000000016,29.0,29.0,1012.0,83.0,7952.52589277651,204.5
Gambia,,,,,,,,23.3
Georgia,15.0,7.350000000000023,15.0,15.0,1017.0,51.0,4717.14302573577,293.1
Germany,7.03000000000003,2.230000000000018,4.439999999999999,8.890000000000043,1025.0,52.0,47603.0276328757,5033.5
Ghana,28.0,30.75,28.0,28.0,1015.0,83.0,2202.31216442504,66.7
Gibraltar,17.53000000000003,12.189999999999998,16.0,18.0,1014.0,72.0,,
Greece,16.0,15.939999999999998,14.0,17.220000000000027,1011.0,71.0,20324.2535641478,1516.6
Greenland,0.0,-12.969999999999972,0.0,0.0,1011.0,90.0,,
Grenada,28.0,26.69,28.0,28.0,1014.0,74.0,10640.496760331,497.2
Guam,29.20000000000005,30.960000000000036,28.890000000000047,29.44,1016.0,70.0,35712.5621350321,
Guatemala,25.0,21.20000000000005,25.0,25.0,1023.0,57.0,4549.01008110721,259.9
Guernsey,10.340000000000034,5.25,10.0,11.110000000000014,1015.0,87.0,,
Guinea,27.0,30.56,27.0,27.0,1013.0,83.0,878.599613250501,33.7
Guinea-Bissau,24.01000000000005,23.27000000000004,24.01000000000005,24.01000000000005,1013.0,60.0,777.969921802522,52.4
Guyana,24.0,28.350000000000023,24.0,24.0,1013.0,100.0,4979.00218839886,230.5
Haiti,31.0,32.700000000000045,31.0,31.0,1013.0,58.0,868.34202469407,62.4
Honduras,31.460000000000036,28.29000000000002,30.56,33.890000000000036,1014.0,29.0,2500.11321286023,195.9
Hungary,10.03000000000003,6.170000000000017,8.330000000000041,11.110000000000014,1018.0,57.0,16161.9805101918,981.4
Iceland,7.6299999999999955,-1.0699999999999932,6.670000000000017,8.0,1014.0,93.0,73191.1163154337,6086.3
India,26.920000000000016,28.590000000000032,24.0,30.56,1007.0,57.0,2009.97885727039,69.3
Indonesia,26.890000000000047,32.73000000000002,26.0,27.780000000000033,1010.0,94.0,3893.59607757239,115.0
International,,,,,,,,
Iran,15.32000000000005,12.030000000000028,14.0,16.0,1016.0,38.0,,
Iraq,20.0,18.720000000000027,20.0,20.0,1011.0,49.0,5834.16621076061,210.3
Ireland,4.930000000000007,2.8900000000000428,3.0,6.0,1021.0,93.0,78806.431996268,4976.9
Isle of Man,9.0,1.410000000000025,9.0,9.0,1022.0,66.0,,
Israel,18.32000000000005,17.840000000000032,15.0,20.0,1010.0,77.0,41715.0292840432,3144.6
Italy,16.550000000000008,17.220000000000027,16.110000000000017,17.220000000000027,1008.0,87.0,34483.2039992043,2840.1
Jamaica,28.95000000000005,28.93000000000001,28.890000000000047,29.0,1013.0,74.0,5354.2368587703,307.2
Japan,9.960000000000036,6.25,9.439999999999998,10.560000000000002,1016.0,87.0,39289.9584346358,4169.0
Jersey,10.360000000000014,6.5,9.439999999999998,11.110000000000014,1015.0,81.0,,
Jordan,18.81,17.32000000000005,18.0,20.0,1014.0,52.0,4241.78878213854,340.7
Kazakhstan,5.0,1.2000000000000457,5.0,5.0,1023.0,80.0,9812.60113654067,279.6
Kenya,15.840000000000034,16.300000000000008,13.330000000000037,18.0,1022.0,93.0,1710.51009699405,76.6
Kosovo,14.439999999999998,11.189999999999998,12.780000000000028,16.0,1012.0,41.0,4302.27648252378,
Kuwait,22.54000000000002,19.210000000000036,22.0,23.0,1011.0,43.0,33994.4065667831,1529.1
Kyrgyzstan,10.0,6.07000000000005,10.0,10.0,1016.0,71.0,,78.8
Laos,27.780000000000033,32.18000000000001,27.780000000000033,27.780000000000033,991.0,74.0,,
Latvia,1.7300000000000182,-1.7799999999999727,0.5600000000000023,3.0,1023.0,86.0,17860.6171980214,930.4
Lebanon,18.5,18.29000000000002,16.110000000000017,20.0,1013.0,64.0,8269.78767551923,719.4
Liberia,27.0,32.5,27.0,27.0,1014.0,94.0,677.322178545364,56.6
Libya,22.590000000000032,14.640000000000045,22.590000000000032,22.590000000000032,1004.0,42.0,7241.70448113024,
Liechtenstein,10.260000000000046,8.990000000000009,10.0,10.560000000000002,1008.0,89.0,,
Lithuania,4.0,-0.5600000000000023,4.0,4.0,1022.0,60.0,19153.4089860651,1078.2
Luxembourg,10.640000000000043,5.2700000000000395,10.0,11.110000000000014,1015.0,62.0,116639.88804711,5782.6
Macedonia,12.360000000000017,10.910000000000023,12.0,12.780000000000028,1011.0,76.0,,
Madagascar,16.0,12.620000000000005,16.0,16.0,1022.0,77.0,527.501285041282,24.7
Malawi,15.360000000000017,14.110000000000017,15.360000000000017,15.360000000000017,1017.0,69.0,389.398033178836,32.3
Malaysia,26.77000000000004,33.30000000000001,26.670000000000016,27.0,1009.0,94.0,11373.2330025676,384.1
Maldives,29.730000000000015,32.98000000000002,29.730000000000015,29.730000000000015,1008.0,75.0,10330.615614094,1006.9
Mali,34.0,33.08000000000004,34.0,34.0,1014.0,26.0,899.659908096615,31.4
Malta,17.439999999999998,15.220000000000026,17.0,17.78000000000003,1011.0,88.0,30098.2833099975,2585.6
Mauritania,20.0,17.27000000000004,20.0,20.0,1015.0,82.0,1188.83458753973,48.8
Mauritius,23.640000000000047,24.04000000000002,23.330000000000037,24.0,1015.0,83.0,11238.6903948961,599.7
Mexico,25.590000000000032,21.370000000000005,25.0,26.0,1022.0,31.0,9673.44367360619,494.7
Moldova,12.57000000000005,7.03000000000003,12.220000000000026,13.0,1014.0,35.0,3227.3121916043,
Monaco,13.879999999999995,13.270000000000039,12.780000000000028,15.0,1010.0,93.0,185741.279991587,2932.4
Mongolia,-12.0,-16.169999999999963,-12.0,-12.0,1025.0,66.0,4121.73243469391,148.8
Montenegro,12.350000000000026,10.58000000000004,10.0,14.0,1013.0,62.0,8844.23698538056,
Montserrat,25.920000000000016,27.890000000000047,25.56,27.0,1016.0,74.0,,
Morocco,16.79000000000002,15.120000000000005,16.0,17.78000000000003,1018.0,77.0,3237.88336815666,161.0
Mozambique,20.0,20.490000000000013,20.0,20.0,1022.0,82.0,498.957220208652,21.1
Myanmar,26.0,31.350000000000023,26.0,26.0,1009.0,94.0,1325.9529237064,58.0
Namibia,17.0,16.860000000000017,17.0,17.0,1028.0,77.0,5931.45388611617,447.3
Nepal,14.0,12.490000000000007,14.0,14.0,1015.0,82.0,1033.91243082634,47.9
Netherlands,11.0,4.170000000000016,10.560000000000002,11.110000000000014,1021.0,43.0,53024.0592130531,4911.4
New Caledonia,23.870000000000005,28.140000000000047,21.0,25.56,1016.0,100.0,,
New Zealand,15.520000000000039,8.860000000000014,15.0,16.110000000000017,1014.0,59.0,41945.3316690932,3937.2
Nicaragua,35.0,34.640000000000036,35.0,35.0,1008.0,39.0,2028.89475539369,192.1
Niger,37.0,36.49000000000001,37.0,37.0,1010.0,22.0,413.980304962089,29.3
Nigeria,27.0,30.330000000000037,27.0,27.0,1014.0,78.0,2028.18197017598,73.9
Northern Mariana Islands,28.74000000000001,30.0,28.330000000000037,29.0,1016.0,74.0,23258.6758552794,
Norway,8.400000000000034,5.57000000000005,6.110000000000013,10.0,1005.0,41.0,81697.2459836768,7936.4
Oman,27.0,33.260000000000055,27.0,27.0,1009.0,100.0,16415.1572780989,587.6
Pakistan,16.010000000000048,14.700000000000045,15.0,16.670000000000016,1012.0,87.0,1482.40306306798,44.6
Palestine,18.32000000000005,17.840000000000032,15.0,20.0,1010.0,77.0,,
Panama,30.26000000000005,32.18000000000001,30.0,31.0,1009.0,70.0,15575.0725482915,1112.3
Papua New Guinea,28.0,34.24000000000001,28.0,28.0,1011.0,88.0,2730.27479935873,61.5
Paraguay,26.0,26.830000000000037,26.0,26.0,1017.0,57.0,5821.81432292324,381.1
Peru,23.0,22.160000000000025,23.0,23.0,1013.0,69.0,6941.23584763012,332.6
Philippines,27.230000000000015,30.980000000000015,26.0,27.780000000000033,1012.0,74.0,3102.71336329931,132.9
Poland,6.920000000000017,2.8100000000000023,6.110000000000013,7.220000000000027,1023.0,52.0,15420.9111634295,906.8
Portugal,13.910000000000027,13.410000000000027,13.0,14.439999999999998,1015.0,87.0,23407.9065887968,1908.0
Puerto Rico,26.970000000000034,26.94,26.11000000000001,28.0,1016.0,74.0,31651.3481514031,
Qatar,25.350000000000023,27.640000000000047,25.0,26.11000000000001,1009.0,69.0,68793.7844372614,1649.2
Romania,11.07000000000005,4.760000000000048,11.0,11.110000000000014,1013.0,71.0,12301.1864034302,555.1
Russia,0.0,-2.9899999999999523,0.0,0.0,1013.0,85.0,,
Rwanda,19.0,21.240000000000013,19.0,19.0,1022.0,93.0,772.944459929187,49.2
Saint Kitts and Nevis,26.850000000000023,29.050000000000008,25.56,28.0,1016.0,78.0,,902.7
Saint Lucia,26.400000000000034,24.120000000000005,25.0,28.0,1015.0,69.0,,460.1
Saint Vincent and the Grenadines,25.0,28.980000000000015,25.0,25.0,1015.0,94.0,,320.6
San Marino,16.27000000000004,17.230000000000018,16.0,16.670000000000016,1011.0,93.0,,3361.6
Sao Tome and Principe,25.0,28.629999999999995,25.0,25.0,1014.0,94.0,2001.14090226164,119.7
Saudi Arabia,25.0,24.54000000000002,25.0,25.0,1013.0,44.0,23338.9634580718,1093.4
Senegal,20.0,17.03000000000003,20.0,20.0,1015.0,88.0,1521.95355421391,55.0
Serbia,12.0,7.640000000000043,12.0,12.0,1015.0,62.0,7246.73165586437,528.5
Seychelles,29.0,33.24000000000001,29.0,29.0,1008.0,79.0,16433.9352865158,791.7
Sierra Leone,26.25,27.720000000000034,26.25,26.25,1013.0,79.0,533.991184258936,66.4
Singapore,27.550000000000008,33.510000000000055,26.670000000000016,28.0,1009.0,88.0,64581.9440183954,2618.7
Sint Maarten (Dutch part),,,,,,,,
Slovakia,6.510000000000048,2.480000000000018,3.8900000000000428,8.330000000000041,1019.0,45.0,,1186.1
Slovenia,12.720000000000026,7.25,11.110000000000014,14.439999999999998,1016.0,81.0,26123.9738694646,1920.3
Somalia,28.06,30.840000000000032,28.06,28.06,1009.0,74.0,314.544165670763,
South Africa,14.07000000000005,14.290000000000019,13.0,16.110000000000017,1026.0,93.0,6374.02819575944,499.2
South Korea,10.0,7.330000000000041,10.0,10.0,1010.0,76.0,,
South Sudan,23.660000000000025,23.24000000000001,23.660000000000025,23.660000000000025,1012.0,63.0,,22.9
Spain,12.020000000000039,10.070000000000052,11.670000000000016,12.780000000000028,1010.0,76.0,30370.8923252247,2506.5
Sri Lanka,26.410000000000025,31.350000000000023,26.410000000000025,26.410000000000025,1009.0,83.0,4102.48135014467,159.5
Sudan,28.0,23.220000000000034,28.0,28.0,1011.0,14.0,977.273635724417,193.8
Suriname,25.129999999999995,28.800000000000008,23.890000000000047,26.0,1013.0,83.0,6234.04492230646,339.3
Swaziland,13.0,13.230000000000016,13.0,13.0,1029.0,100.0,,
Sweden,6.760000000000048,3.3700000000000045,6.110000000000013,7.78000000000003,1026.0,65.0,54608.3602546906,5904.6
Switzerland,16.0,14.300000000000011,16.0,16.0,1010.0,63.0,82796.5471631285,9956.3
Syria,13.770000000000039,11.340000000000034,13.0,18.330000000000037,1014.0,62.0,,
Taiwan,23.050000000000008,23.220000000000034,22.780000000000033,23.330000000000037,1014.0,88.0,,
Tanzania,25.280000000000033,29.140000000000047,25.0,26.0,1012.0,88.0,1050.67525379846,
Thailand,29.830000000000037,33.260000000000055,29.44,30.56,1008.0,76.0,7273.56320732092,247.0
Timor,,,,,,,,
Togo,27.0,29.86000000000001,27.0,27.0,1014.0,83.0,679.257083602874,38.0
Trinidad and Tobago,26.170000000000016,29.27000000000004,25.56,26.670000000000016,1014.0,83.0,17129.9130902577,1124.1
Tunisia,19.69,17.300000000000008,19.0,20.0,1004.0,64.0,3447.50790975551,250.6
Turkey,11.510000000000048,9.890000000000043,10.0,13.890000000000045,1014.0,61.0,9370.1763438282,444.7
Turks and Caicos Islands,26.25,26.300000000000008,26.25,26.25,1015.0,82.0,27142.2277976902,
Uganda,22.0,19.830000000000037,22.0,22.0,1018.0,83.0,642.776744292007,38.9
Ukraine,2.990000000000009,-1.2899999999999636,2.0,3.8900000000000428,1016.0,93.0,3095.17358053586,177.4
United Arab Emirates,27.710000000000036,28.160000000000025,27.220000000000034,28.0,1009.0,45.0,43004.9533584848,1357.0
United Kingdom,8.350000000000023,4.920000000000017,7.220000000000027,9.439999999999998,1020.0,66.0,42943.9022698053,
United States,18.04000000000002,13.480000000000016,17.220000000000027,18.890000000000047,1008.0,39.0,62794.5856522398,10246.1
United States Virgin Islands,,,,,,,,
Uruguay,20.19,20.720000000000027,19.0,23.0,1017.0,77.0,17277.9701105496,1591.5
Uzbekistan,13.0,11.280000000000028,13.0,13.0,1014.0,76.0,1532.37167679684,98.8
Vatican,,,,,,,,
Venezuela,20.970000000000027,21.870000000000005,20.970000000000027,20.970000000000027,1013.0,68.0,,
Vietnam,25.0,28.350000000000023,25.0,25.0,1010.0,88.0,2566.59694958511,
Yemen,16.610000000000017,14.520000000000039,16.610000000000017,16.610000000000017,1011.0,37.0,944.408499373419,
Zambia,15.830000000000037,14.430000000000007,15.830000000000037,15.830000000000037,1017.0,60.0,1539.90015779907,67.6
Zimbabwe,13.0,11.280000000000028,13.0,13.0,1026.0,76.0,2146.99638487707,110.1
